UMAP1,UMAP2,Cluster
7.7206855,6.427649,8
12.970197,6.2081294,5
7.8647776,3.2992928,3
10.572061,5.0579085,7
10.578235,4.345207,7
9.453762,6.152824,6
9.50063,7.9421277,2
8.596328,7.0180807,8
5.655031,6.492512,9
11.98126,5.6795983,5
12.817258,6.1108346,5
10.823865,5.981205,5
8.774799,7.5717926,1
11.283346,5.6807866,5
12.411701,6.850429,5
4.5745006,7.9638786,4
9.987218,7.7635098,2
3.8828967,7.487022,4
7.9432425,2.618107,3
10.886625,8.47578,2
9.937616,7.540762,2
10.352226,7.857694,2
12.462873,5.8094735,5
5.032561,8.368874,9
7.6050887,8.753888,1
9.78706,7.0229826,6
10.976026,6.7213116,5
9.917247,0.50255483,0
11.327429,6.99708,5
8.5873575,6.3628955,8
11.13727,7.2300367,5
8.059357,5.954734,8
11.0117655,5.6515903,5
11.150352,8.140006,2
10.339911,8.721873,2
10.625978,0.31811282,0
4.912215,6.3864155,4
6.726523,4.4174023,3
10.221314,0.48635334,0
8.357287,6.8355436,8
11.234376,6.7770844,5
10.12108,6.712932,6
9.2619505,8.179505,2
11.887377,6.7699814,5
9.955235,7.2979307,2
8.935961,5.5182085,6
10.504271,0.37121776,0
7.7330313,2.6901464,3
11.288055,8.034096,2
9.673266,6.6749935,6
7.8869863,6.120796,8
10.53176,8.434084,2
7.576793,8.234467,1
10.308072,6.428213,6
10.86726,0.35450965,0
10.487354,6.4715085,6
10.8996315,6.174729,5
10.772319,4.5988255,7
6.9809175,4.446814,3
9.701754,8.182375,2
8.176013,7.965628,1
5.5775876,6.593323,9
11.491179,6.161477,5
8.233315,5.7735424,8
10.082283,5.571517,6
9.31884,9.04817,2
6.220139,8.806297,9
9.089468,5.400073,6
11.075035,8.286435,2
7.992505,2.7220752,3
7.8100863,3.7311535,3
10.287539,9.007092,2
10.689768,8.877617,2
9.399809,7.518903,2
10.079936,0.55488104,0
5.335637,6.900209,9
12.0530815,5.5166106,5
7.3724084,3.6602023,3
9.060923,5.027008,6
4.2661223,7.4200025,4
8.184158,8.046363,1
9.284634,8.00154,2
10.9681,5.5122247,7
7.840197,3.7588732,3
7.7443733,6.9172893,8
11.227883,0.9539488,0
10.966741,8.263813,2
10.690404,4.6697726,7
11.1675005,0.8906652,0
10.7783785,6.8639097,5
6.5571527,8.591548,9
9.927105,5.624021,6
12.043678,5.5226593,5
9.163157,5.860937,6
7.616271,7.128105,8
5.306176,6.5321956,9
7.183982,4.72774,3
10.012072,3.693974,7
10.577813,0.40537143,0
7.9415708,7.8696427,1
9.932828,4.257962,7
10.128104,7.587262,2
11.458885,6.209869,5
6.068298,8.225606,9
6.582582,4.5773926,3
12.0118065,7.0626016,5
12.005578,6.8205523,5
11.162971,0.55830926,0
4.0228333,7.657936,4
10.00506,4.3836126,7
11.968661,7.197292,5
9.8101635,3.640131,7
8.798568,6.9089737,8
8.342128,4.4292483,3
11.184495,0.8227754,0
12.265345,6.563386,5
9.431962,6.800347,6
5.0429397,8.34174,9
8.2461605,4.2322383,3
11.118646,5.9150367,5
12.250407,6.128206,5
7.8432236,3.3320177,3
7.7160945,2.639702,3
12.138777,6.050705,5
10.106649,3.94567,7
11.080947,5.311758,7
10.7537985,0.24137793,0
7.552245,8.555373,1
6.027826,8.774053,9
10.013492,9.002818,2
10.363665,4.804578,7
3.745965,7.2894034,4
7.2335,4.801784,3
4.0564146,7.427753,4
10.436788,6.584463,6
12.113244,6.7843075,5
10.881728,5.4609723,7
10.651331,7.1150746,2
10.7163105,9.062458,2
11.126559,8.158179,2
10.450972,0.5155644,0
3.804118,7.3422265,4
9.098344,5.452109,6
9.622974,6.885928,6
5.97208,6.479952,9
10.484121,4.1896653,7
3.9335763,6.8106127,4
8.0756,6.752845,8
6.551372,4.6223845,3
7.836597,2.5968373,3
11.205288,8.158491,2
7.9685316,6.598739,8
11.772057,7.555661,5
10.392325,5.070164,7
12.336347,7.1884403,5
11.329551,6.5474,5
12.354585,6.2500057,5
10.359667,8.988452,2
10.566763,6.8752837,6
10.067389,3.521817,7
4.2537603,7.847579,4
6.1380954,8.841708,9
12.162767,6.497149,5
7.737263,3.637388,3
9.821975,4.098679,7
9.962356,3.9551668,7
11.3539,0.79559594,0
10.0740185,4.531386,7
6.988682,4.016288,3
7.7772894,3.522571,3
9.465569,4.5842757,7
3.9101362,7.542467,4
5.692899,8.568232,9
10.838461,0.24427947,0
10.366296,5.451929,7
10.086168,5.384417,7
4.4069796,6.9563813,4
6.9793315,6.7642894,8
8.733825,5.0924983,6
8.82429,6.472174,6
10.02605,0.6031813,0
9.5048065,6.8819575,6
4.235752,7.840767,4
8.004162,4.02382,3
8.404981,8.1786,1
